creator_id,wallet_address,name,email,reputation_score,registered_at,status
9b787e46-b4c4-4563-8117-b972c339f284,0x93446f17ed6457b1cbbee6e7fdb203dc137bcc0f,Donald Walker,rhodespatricia@example.org,7.85,2024-07-19 20:03:31,1
7815691c-470f-4e46-9eb7-1f2db87b47af,0xab4110dc8b7b2446f144dded33da87bdbe903c54,Daniel Wagner,hoffmanjennifer@example.net,7.38,2024-07-02 03:29:32,1
912c19d6-8430-4ba9-91ad-8474c4b1ab8e,0xceaff6348269e17def2e71a64632d91c8c24c02d,Donald Booth,helenpeterson@example.org,4.36,2024-02-25 03:08:21,1
3ca4d9df-a59b-423b-b0ff-21876d19246c,0x761d6a1bf9580e75cfa815a19e7e69f30b50e138,Brandon Davis,cassandra07@example.net,0.74,2024-01-20 23:44:01,1
84d28fb9-3904-4b80-824a-fcb8b195de71,0x9cd52e58dcfc7bee1bfae889e674e81b2831cfbf,Juan Calderon,barbara10@example.net,5.07,2024-03-01 00:26:08,1
6bc8381d-3be8-4ee5-b96e-429946f93e02,0xcdfeaee88ad132f0b2488c09e4ad862ad1b21c30,Dr. Sharon James,xreid@example.org,5.8,2024-04-25 06:36:23,1
bc32ae4f-824f-45fc-b7da-e189e4c546ce,0xde8fb81dd7f7c6712c06fa64e687c301227da9eb,Mia Sutton,lynchgeorge@example.net,9.91,2024-03-07 14:04:22,1
b8bc32d6-d902-4877-aea0-364950e4960e,0xfa25111b9109276f28afd818b62d3afd4fe3aadc,William Bowman,gabriellecameron@example.org,9.9,2024-03-01 11:09:08,1
337bcc40-715b-407e-9a48-321bb78a2f3e,0xac6fca1e46ac41ed6bdd492602820137f611ce78,Jennifer Jones,jason76@example.net,1.52,2024-05-29 17:04:44,1
b84651b4-2668-4375-a12c-97f0fca26b27,0x5e07383fc5d1976edf3b7d204f15e07a1a922852,Patrick Ryan,zhurst@example.com,0.02,2024-02-26 16:29:14,1
9f3a66ea-390c-4fd6-9520-46f9c847fc37,0xa9340dc4cd73ee38fd8662c03f6ddd648240c93c,Johnny Campos,hernandezernest@example.net,7.59,2024-05-15 11:05:08,1
